;sent_index;sent_text;def
21;122;Семантические кальки — это слова, которые получили новые, переносные значения под влиянием иностранного слова.;1
22;146;Учёные, занимающиеся семантикой, до сих пор обычно называются семасиологами.;1
23;149;"Таковы споры о происхождении значений слов и их отношении к бытию и мышлению, которые велись аналогистами и аномалистами в древности и номиналистами, реалистами, концептуалистами в Средние века; таково учение о суппозициях, то есть об изменениях значения слова в зависимости от контекста и конкретной ситуации, развиваемое средневековой схоластикой; таковы проблемы адекватности языкового выражения мышления и происхождения противоречий между ними, проблемы развития мышления и языка, выдвигаемые философией XVII—XVIII веков.";1
24;161;Только одна сторона значения слова подвергается более детальному обсуждению в лингвистике XIX — начала XX веков — это так называемое этимологическое его значение, то есть значение, вскрываемое в слове его этимологическим анализом, установлением связи его с другими словами того же или ближайших к нему языков.;1
25;162;"Проблема соотношения этого этимологического значения или, короче, этимона ко всему содержанию слова обсуждается в языковедении XIX века, начиная с Гумбольдта; предложенное Гумбольдтом определение этого соотношения как внутренней формы слова, выражающей данное в соответствующем языке воззрение на предмет, интерпретировалась психологистами как выражение в языке образного представления предмета (Штейнталь) или доминирующего признака представления (Вундт), а их противниками — как не связанная с содержанием слова структурность его формы (Марти).";1
26;163;Курва (польск. kurwa) — наиболее часто используемый польский вульгаризм.;1
27;256;Когнитивная лингвистика — направление в языкознании, которое исследует проблемы соотношения языка и сознания, роль языка в концептуализации и категоризации мира, в познавательных процессах и обобщении человеческого опыта, связь отдельных когнитивных способностей человека с языком и формы их взаимодействия.;1
28;257;Под категоризацией понимается процесс упорядочения полученных знаний, то есть распределения нового знания по тем или иным рубрикам, существующим в сознании человека, и часто задаваемых категориями языка, носителем которого этот человек является.;1
29;258;Концептуализация — это процесс определения набора когнитивных признаков (в том числе — и категориальных) какого-либо явления реального или воображаемого мира, которые позволяют человеку иметь, хранить в сознании и пополнять новой информацией сколько-нибудь очерченное понятие и представление об этом явлении и отличать его от других феноменов.;1
30;259;Вообще когнитивизм есть совокупность наук, объединяющая исследования общих принципов, управляющих мыслительными процессами.;1
31;260;"Именно в языке фиксируется опыт человечества, его мышление; язык — познавательный механизм, система знаков, специфически кодифицирующая и трансформирующая информацию.";1
32;285;Морфоло́гия (от др.-греч. μορφή — «форма» и λόγος  — «слово, учение») — раздел грамматики, основными объектами которого являются слова естественных языков, их значимые части и морфологические признаки.;1
33;292;Наряду с обозначением некоторой области лингвистики, термин «морфология» может обозначать и часть системы языка (или «уровень» языка) — а именно, ту, в которой содержатся правила построения и понимания слов данного языка.;1
34;294;Морфология как раздел лингвистики является в этом смысле обобщением всех частных морфологий конкретных языков, то есть совокупностью сведений о всех возможных типах морфологических правил.;1
35;310;Слово — синтаксически самостоятельный комплекс морфем, связанных, определяемой языком, жёсткой структурой.;1
36;333;Морфология — раздел грамматики, изучающий грамматические свойства слов.;1
37;336;Расширенное понятие: морфология — наука о формах.;1
38;337;Грамматическое значение — обобщённое, отвлечённое языковое значение, присущее ряду слов, словоформ и синтаксических конструкций, находящее в языке своё регулярное (стандартное) выражение, например, значение падежа имён существительных, времени глагола и т. п.;1
39;h_5;Грамматическое значение противопоставлено лексическому значению, которое лишено регулярного (стандартного) выражения и не обязательно имеет абстрагированный характер.;0
40;343;Аффиксы — это служебные морфемы.;1
41;347;Под супплетивизмом понимается выражение грамматического значения словом с другой основой: иду — шёл, человек — люди.;1
42;350;Грамматический способ редупликации (повтора) заключается в полном или частичном повторении частей слова для выражения грамматического значения: Такой способ словообразования как редупликация (удвоение корня или основы слова) в русском языке не встречается, однако, широко распространён в австронезийских языках.;1
43;352;"Грамматический способ — чередование (внутренняя флексия) представляет собой использование изменения звукового состава корня для выражения грамматического значения: избегать — избежать; собирать - собрать.";1
44;353;Грамматическая форма — внешнее языковое выражение грамматического значения в каждом конкретном случае употребления слова.;1
45;355;Грамматическая категория — система противопоставленных друг другу рядов грамматических форм с однородными значениями.;1
46;871;Язы́к — сложная знаковая система, естественно или искусственно созданная и соотносящая понятийное содержание и типовое звучание (написание).;1
47;993;Компью́терная лингви́стика (также: математи́ческая или вычисли́тельная лингви́стика, англ. computational linguistics) — научное направление в области математического и компьютерного моделирования интеллектуальных процессов у человека и животных при создании систем искусственного интеллекта, которое ставит своей целью использование математических моделей для описания естественных языков.;1
48;1040;Приста́вка, пре́фикс (лат. praefixus) — значимая часть слова, стоящая перед его корнем и дополняющая или изменяющая смысл слова.;1
49;1050;Прикладна́я лингви́стика (прикладное языкознание) — наряду с теоретической лингвистикой является частью науки, занимающейся языком.;1
50;1055;"Основные направления прикладной лингвистики, связанные с изучением языка:  лексикография — теория и практика составления словарей; лингводидактика — наука о разработках методик обучения иностранному языку; усвоение второго языка — наука о процессе усвоения языка (в отличие от лингводидактики — с точки зрения обучаемого); терминоведение — наука об упорядочении и стандартизации научно-технической терминологии; переводоведение — теория перевода.";1
51;1071;Мода́льность (от ср.лат. modalis — модальный, лат. modus — мера, способ) — семантическая категория, выражающая отношение говорящего к содержанию его высказывания, целевую установку речи, отношение содержания высказывания к действительности.;1
52;1076;Разрабатывая теорию высказывания, швейцарский лингвист Шарль Балли отметил, что в высказывании можно выделить два элемента: основное содержание (диктум) и индивидуальную оценку излагаемых фактов (модус).;1
53;1084;временная локализация — фиксация события на временной оси или отсутствие такой фиксации.;1
54;1087;пространственная локализация — фиксация события в пространстве общения или за его пределами, которая выражается в оппозициях здесь—там, сюда—туда, отсюда—оттуда, вверху-внизу, внутри-снаружи, далеко-близко….;1
55;1089;К квалификативным категориям относятся:  авторизация — это квалификация информации с точки зрения источников её сообщения.;1
56;1091;персуазивность — (от лат. persuasio — уговаривание, мнение) — это квалификация информации с точки зрения степени её достоверности, проявляется в оппозиции «достоверно/недостоверно».;1
57;1094;Социальные категории модуса — выражение отношения говорящего к собеседнику: почтительное — фамильярное, официальное — дружеское.;1
58;1104;Лингви́ст (языкове́д) — учёный, специалист по лингвистике (языкознанию, языковедению).;1
59;1113;Филоло́гия (от др.-греч. φιλολογία, «любовь к слову») — совокупность наук (языкознания, текстологии, литературоведения, источниковедения, палеографии и др.), изучающих культуру народа, выраженную в языке и литературном творчестве.;1
60;1116;"В словаре Даля «филология» — (греч. любословие) наука или изучение древних, мёртвых языков; изучение живых языков — лингвистика.";1
61;1126;История лингвистики (история языкознания, история лингвистических учений) — наука о становлении и развитии лингвистики как науки, концепций, теорий и практической лингвистической деятельности, о лингвистических традициях.;1
62;1156;Синта́гма (др.-греч. σύνταγμα, букв. «сопорядок», от σύν «с» и τάγμα «порядок») — совокупность нескольких слов, объединённых по принципу семантико-грамматически-фонетической сочетаемости, единица синтагматики.;1
63;1162;В данном случае, синтагма — фонетическое единство, выражающее единое смысловое целое в процессе речи-мысли и могущее состоять как из одной ритмической группы, так и из целого ряда их.;1
64;1163;Зало́г — глагольная категория, которая выражает отношение действия к субъекту (производителю действия) и объекту действия (предмету, над которым действие производится) с основными именными частями предложения — подлежащим и прямым дополнением (т. н. диатезу).;1
65;1168;Действительный залог — прямой залог в номинативных языках.;1
66;1173;Пассив является самым важным косвенным залогом номинативных языков (русский, английский, латинский, древнегреческий и многие другие).;1
67;1174;Рефлексив (возвратный залог) — отображает тождество между объектом и субъектом (аналог в русском: «Он одевается»).;1
68;1175;Реципрок (взаимный залог) — отображает симметричное отношение между участниками сложного процесса.;1
69;1177;Медий (средний залог) — обозначает действие, сосредоточенное на субъекте, в то время как объект этого действия не важен.;1
70;1180;Антипассив — важнейший косвенный залог в эргативных языках, являющийся «зеркальным» аналогом пассива.;1
71;1183;Эргативный (эргативная конструкция) — прямой залог в эргативных языках, являющийся зеркальным аналогом актива.;1
72;1184;Социатив (или кооператив, или совместный залог) — выражает отношение кооперации между субъектами, совершающими какое-то действие (в русском: «Они сотрудничают»).;1
73;1186;Имперсонал (или безличный залог) — показывает, что позиция подлежащего не занята.;1
74;1188;Каузатив (причинительный, понудительный залог) — указывает на то, что действие, инициируемое субъектом, фактически совершается другим (побочным) участником.;1
75;1195;Структу́рная лингви́стика — совокупность представлений о языке и методов его исследования, языковедческая дисциплина.;1
76;1211;Кроме того, учёный разработал базовые положения семиотики — науки о знаках, частью которой должна была стать и лингвистика как наука о языковых знаках.;1
77;1240;Си́нтаксис (др.-греч. σύν-ταξις «составление», «координация», «порядок») — раздел лингвистики, в котором изучаются номинативные и коммуникативные языковые единицы: предложение и словосочетание.;1
78;1242;Синтаксис в буквальном переводе означает не только составление, но и упорядочивание, координирование, соединение слов в связный текст.;0
79;1244;В лингвистике синтаксис — это совокупность правил, теоретических систем и языковых процессов, упорядочивающих и изучающих структуру предложений в каком-либо языке.;1
80;1316;"Рефере́нт (от лат. referens «относящий, сопоставляющий») — объект внеязыковой действительности, подразумеваемый автором конкретного речевого отрезка; предмет референции.";1
81;1321;Таким образом, референция — это соотнесение знака с объектами внеязыковой действительности в процессе коммуникации.;1
82;1323;При широком толковании каждое слово высказывания имеет свой референт, а в узком смысле, референция — лишь соотнесённость слова с частью объектов, принадлежащих обозначаемому словом классу, которые говорящие выделяют в своём сознании.;1
83;1326;Ассимиля́ция в лингвистике — главным образом фонологический термин, обозначающий уподобление одного звука другому.;1
84;1339;Иногда как тип ассимиляции рассматриваются процессы вроде интервокальной лениции, то есть ослабления артикуляции согласного между гласными.;1
85;1340;Сравнительно-историческое языкознание (также лингвисти́ческая компаративи́стика) — область лингвистики, посвящённая, прежде всего, родству языков, которое понимается историко-генетически (как факт происхождения от общего праязыка).;1
86;1367;Паради́гма (от греч. παράδειγμα, «пример, модель, образец») — совокупность (или класс) языковых единиц в лингвистике, связанных парадигматическими отношениями (объединённых по одному общему признаку и противопоставленных — по другому), а также упорядоченная схема или модель, определяющая такие языковые единицы.;1
87;1369;В узком смысле (в словоизменении) — «морфологическая парадигма» — список словоформ, принадлежащих одной лексеме и имеющих разные грамматические значения.;1
88;1372;Морфологическая парадигма — система словоформ, отражающая реализацию грамматических категорий.;1
89;1380;Лексическая парадигма — объединение слов, противопоставленных по общему семантическому признаку (антонимы, омонимы, паронимы, синонимы, группы, семантические поля и т. д.);1
90;1382;Словообразовательная парадигма — совокупность производных слов (дериватов) от одной словообразовательной основы, например, в башкирском языке: тот- — тоташ «слитный», тотҡа, тотҡос «рукоятка», тотҡон «невольник», тотҡолау «держать время от времени», тотош «полностью» и т. п.;1
91;1384;"Построение парадигм — одно из первых лингвистических достижений человечества; вавилонские глиняные таблички с перечнями парадигм обычно считаются первым памятником лингвистики как науки.";1
92;1393;Наклоне́ние — грамматическая категория глагола, выражающая его     модальность (действительность, желательность, долженствование).;1
93;1394;Соответственно различают следующие наклонения:  Индикатив (изъявительное наклонение) — «я пишу» («писал», «написал», «напишу», «буду писать»).;1
94;1395;Субъюнктив (сослагательное или условное наклонение, кондиционалис, конъюнктив) — «я бы написал».;1
95;1396;Оптатив (желательное наклонение, модальное среднее между субъюнктивом и императивом) — «Напишу-ка».;1
96;1397;Императив (повелительное наклонение) — «пиши!».;1
97;1398;Юссив (позволительное наклонение): «пусть пишет!».;1
98;1399;Гортатив (предлагательное наклонение): «давайте напишем!».;1
99;1400;Инъюнктив (намерительное наклонение: выражение собственного намерения, совпадающее в русском языке с совершенным будущим временем): «напишу».;1
100;1401;Прохибитив (отрицательно-просительное наклонение) — выражает просьбу говорящего о том, чтобы действие не было осуществлено — «не покупай!» (несов. вид, в противоположность «купи!» — сов. вид.);1
101;1403;Синтаксическая парадигма — ряд структурно различающихся конструкций, отражающих видоизменения синтаксических значений.;1
102;1404;Ирреалис — форма ирреального наклонения в сложных предложениях во многих индейских и тихоокеанских языках.;1
103;1407;Парафразив (пересказательное наклонение) — наклонение в латышском и болгарском языках, используется для передачи чужих слов.;1
104;h_6;Представляет собой грамматическое соответствие семантической категории модальности (реальность, гипотеза, ирреальность, желание, побуждение и т. д.), однако в ряде языков наклонение может утрачивать модальную семантику и диктоваться только синтаксисом (как в латинском и французском языках конъюнктив в некоторых типах предложений).;1
105;1410;В современном русском языке, согласно Лингвистическому энциклопедическому словарю, глаголы имеют три наклонения:  Изъявительное наклонение (индикатив) Условное наклонение (субъюнктив) Повелительное наклонение (императив);1
106;1416;Дополне́ние в синтаксисе — второстепенный член предложения, выраженный существительным или местоимением.;1
107;1417;Дополнение обозначает предмет или лицо, являющееся объектом действия, выраженного сказуемым.;1
108;1418;Отвечает на вопросы косвенных (не именительного) падежей.;0
109;1419;"Традиционные теории структуры предложения делят простые предложения на подлежащее (субъект) и сказуемое (предикат); дополнение является частью сказуемого.";1
110;1449;Выделяют прямое дополнение — беспредложное дополнение после переходного глагола (в русском языке — в винительном, иногда в родительном падеже) — и косвенное дополнение (в остальных случаях, после предлогов и косвенных падежей).;1
111;1455;Прескрипти́вными в языкознании называются правила, предписывающие, как следует говорить.;0
112;1467;Генерати́вная лингви́стика (трансформационная порождающая грамматика, трансформационно-генеративная грамматика, хомскианская лингвистика, генеративизм) — направление в современном мировом языкознании, получило распространение с конца 1950-х годов, основоположник — Ноам Хомский (США).;1
113;1519;Ареа́льная лингви́стика (пространственная лингвистика) (от лат. area — площадь, пространство) — раздел языкознания, изучающий распространение языковых явлений в пространственной протяжённости и межъязыковом (междиалектном) взаимодействии на основе методов лингвистической географии.;1
114;1548;Определе́ние — второстепенный член предложения, обозначающий признак, качество, свойство предмета.;1
115;1563;Агглютинация (от лат. agglutinatio — «приклеивание, склеивание») — образование в языках грамматических форм и производных слов путём присоединения к корню или к основе слова аффиксов, имеющих грамматические и деривационные значения.;1
116;1567;Гласные аффиксов могут подвергаться фонетическим изменениям в зависимости от звукового состава основы (см. сингармонизм), могут изменяться и согласные на стыках морфем, но все эти изменения подчинены чисто фонетическим закономерностям, характерным для данного языка.;0
117;1572;Лексе́ма (от др.-греч. λέξις — слово, выражение, оборот речи) в лингвистике — единица языка, являющаяся единицей словарного состава языка, представляющая собой совокупность  всех парадигматических форм (словоформ) одного слова и их лексических значений.;1
118;1575;В ряде концепций в лексему включаются разные смысловые варианты слова, зависящие от контекста, в котором оно употребляется (например, соль в смысле названия вещества и в значении того, что придает остроту или интерес какому-либо высказыванию, мысли).;0
119;1581;Сло́во — наименьшая из единиц языка, которая служит для именования предметов, их качеств, характеристик и взаимодействий, а также для служебных целей.;1
120;1657;Квазисинонимы — мнимые синонимы, частичные синонимы — слова, близкие по значению, но не взаимозаменяемые во всех контекстах в отличие от синонимов, которые должны быть взаимозаменяемы в любом контексте: тропа — путь, здание — дом, талант — гениальность.;1
121;1662;Омонимы — одинаковые по звучанию и по написанию слова, значения которых осознаются нами как совершенно не связанные между собой и одно из другого не выводимые.;1
122;1692;Ко́рпусная лингви́стика — раздел языкознания, занимающийся разработкой, созданием и использованием текстовых корпусов.;1
123;1744;Этимоло́гия (др.-греч. ἐτυμολογία от ἔτυμον — истина, основное значение слова и λόγος — слово, учение, суждение) — раздел лингвистики (сравнительно-исторического языкознания), изучающий происхождение слов (устойчивых оборотов и реже морфем).;1
124;1871;Концептуализация — это процесс определения набора когнитивных признаков (в том числе — и категориальных) какого-либо явления реального или воображаемого мира, которые позволяют человеку хранить в сознании и пополнять новой информацией сколько-нибудь очерченное понятие и/или представление об этом явлении и отличать его от других феноменов.;1
