sent_index;sent_text;def
t_1410;В современном русском языке, согласно Лингвистическому энциклопедическому словарю, глаголы имеют три наклонения:  Изъявительное наклонение (индикатив) Условное наклонение (субъюнктив) Повелительное наклонение (императив);1
t_1416;Дополне́ние в синтаксисе — второстепенный член предложения, выраженный существительным или местоимением.;1
t_1417;Дополнение обозначает предмет или лицо, являющееся объектом действия, выраженного сказуемым.;1
t_1418;Отвечает на вопросы косвенных (не именительного) падежей.;1
t_1419;"Традиционные теории структуры предложения делят простые предложения на подлежащее (субъект) и сказуемое (предикат); дополнение является частью сказуемого.";1
t_1449;Выделяют прямое дополнение — беспредложное дополнение после переходного глагола (в русском языке — в винительном, иногда в родительном падеже) — и косвенное дополнение (в остальных случаях, после предлогов и косвенных падежей).;1
t_1455;Прескрипти́вными в языкознании называются правила, предписывающие, как следует говорить.;1
t_1467;Генерати́вная лингви́стика (трансформационная порождающая грамматика, трансформационно-генеративная грамматика, хомскианская лингвистика, генеративизм) — направление в современном мировом языкознании, получило распространение с конца 1950-х годов, основоположник — Ноам Хомский (США).;1
t_1519;Ареа́льная лингви́стика (пространственная лингвистика) (от лат. area — площадь, пространство) — раздел языкознания, изучающий распространение языковых явлений в пространственной протяжённости и межъязыковом (междиалектном) взаимодействии на основе методов лингвистической географии.;1
t_1548;Определе́ние — второстепенный член предложения, обозначающий признак, качество, свойство предмета.;1
t_1563;Агглютинация (от лат. agglutinatio — «приклеивание, склеивание») — образование в языках грамматических форм и производных слов путём присоединения к корню или к основе слова аффиксов, имеющих грамматические и деривационные значения.;1
t_1567;Гласные аффиксов могут подвергаться фонетическим изменениям в зависимости от звукового состава основы (см. сингармонизм), могут изменяться и согласные на стыках морфем, но все эти изменения подчинены чисто фонетическим закономерностям, характерным для данного языка.;1
t_1572;Лексе́ма (от др.-греч. λέξις — слово, выражение, оборот речи) в лингвистике — единица языка, являющаяся единицей словарного состава языка, представляющая собой совокупность  всех парадигматических форм (словоформ) одного слова и их лексических значений.;1
t_1575;В ряде концепций в лексему включаются разные смысловые варианты слова, зависящие от контекста, в котором оно употребляется (например, соль в смысле названия вещества и в значении того, что придает остроту или интерес какому-либо высказыванию, мысли).;1
t_1581;Сло́во — наименьшая из единиц языка, которая служит для именования предметов, их качеств, характеристик и взаимодействий, а также для служебных целей.;1
t_1657;Квазисинонимы — мнимые синонимы, частичные синонимы — слова, близкие по значению, но не взаимозаменяемые во всех контекстах в отличие от синонимов, которые должны быть взаимозаменяемы в любом контексте: тропа — путь, здание — дом, талант — гениальность.;1
t_1662;Омонимы — одинаковые по звучанию и по написанию слова, значения которых осознаются нами как совершенно не связанные между собой и одно из другого не выводимые.;1
t_1692;Ко́рпусная лингви́стика — раздел языкознания, занимающийся разработкой, созданием и использованием текстовых корпусов.;1
t_1744;Этимоло́гия (др.-греч. ἐτυμολογία от ἔτυμον — истина, основное значение слова и λόγος — слово, учение, суждение) — раздел лингвистики (сравнительно-исторического языкознания), изучающий происхождение слов (устойчивых оборотов и реже морфем).;1
